Cohort,Planet,"M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22"
May-13,Saturn,"18 ","18 ","18 ","18 ","18 ","18 ","9 ","18 ","18 ","18 ","18 ","18 ","18 ","9 ","9 ","9 ","9 ","9 ","9 ","0 ","0 ","0 ","0 "
May-13,Saturn,"110 ","110 ","100 ","100 ","100 ","90 ","90 ","70 ","60 ","60 ","60 ","50 ","70 ","80 ","70 ","70 ","60 ","60 ","50 ","0 ","0 ","0 ","0 "
May-13,Saturn,"15 ","15 ","15 ","15 ","15 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","13 ","0 ","0 ","0 ","0 "
May-13,Saturn,"24 ","24 ","12 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","12 ","0 ","0 ","0 ","0 "
May-13,Saturn,"40 ","40 ","40 ","40 ","40 ","40 ","30 ","30 ","30 ","30 ","30 ","30 ","20 ","20 ","20 ","20 ","20 ","20 ","20 ","0 ","0 ","0 ","0 "
May-13,Saturn,"27 ","27 ","18 ","27 ","18 ","27 ","18 ","27 ","27 ","27 ","27 ","27 ","27 ","27 ","27 ","27 ","27 ","18 ","18 ","0 ","0 ","0 ","0 "
May-13,Saturn,"60 ","30 ","50 ","50 ","40 ","40 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","20 ","20 ","20 ","20 ","20 ","20 ","0 ","0 ","0 ","0 "
May-13,Saturn,"18 ","18 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"45 ","45 ","30 ","15 ","45 ","15 ","30 ","30 ","30 ","15 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"440 ","363 ","352 ","330 ","308 ","286 ","286 ","275 ","275 ","275 ","242 ","231 ","220 ","209 ","198 ","209 ","198 ","187 ","176 ","0 ","0 ","0 ","0 "
May-13,Saturn,"26 ","13 ","13 ","13 ","13 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"81 ","72 ","72 ","54 ","63 ","72 ","54 ","63 ","72 ","63 ","63 ","63 ","63 ","63 ","63 ","54 ","54 ","45 ","54 ","0 ","0 ","0 ","0 "
May-13,Saturn,"104 ","104 ","104 ","78 ","65 ","78 ","104 ","65 ","91 ","78 ","91 ","91 ","78 ","65 ","52 ","65 ","65 ","65 ","39 ","0 ","0 ","0 ","0 "
May-13,Saturn,"209 ","176 ","176 ","187 ","154 ","176 ","176 ","143 ","132 ","154 ","132 ","132 ","132 ","132 ","132 ","121 ","121 ","88 ","99 ","0 ","0 ","0 ","0 "
May-13,Saturn,"36 ","36 ","36 ","36 ","36 ","36 ","36 ","36 ","36 ","36 ","36 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","0 ","0 ","0 ","0 "
May-13,Saturn,"1,010 ","690 ","630 ","660 ","500 ","530 ","510 ","570 ","570 ","590 ","580 ","540 ","480 ","490 ","490 ","490 ","480 ","470 ","500 ","0 ","0 ","0 ","0 "
May-13,Saturn,"22 ","22 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","11 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"98 ","70 ","84 ","70 ","70 ","70 ","56 ","28 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","0 ","0 ","0 ","0 "
May-13,Saturn,"210 ","180 ","135 ","135 ","165 ","180 ","150 ","120 ","135 ","105 ","120 ","90 ","120 ","105 ","90 ","90 ","75 ","60 ","60 ","0 ","0 ","0 ","0 "
May-13,Saturn,"77 ","66 ","55 ","33 ","44 ","55 ","55 ","33 ","44 ","33 ","44 ","22 ","44 ","44 ","55 ","44 ","44 ","44 ","44 ","0 ","0 ","0 ","0 "
May-13,Saturn,"225 ","195 ","120 ","165 ","120 ","105 ","120 ","105 ","120 ","120 ","120 ","120 ","105 ","75 ","90 ","75 ","75 ","60 ","60 ","0 ","0 ","0 ","0 "
May-13,Saturn,"9 ","9 ","9 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"135 ","120 ","105 ","90 ","90 ","60 ","60 ","30 ","45 ","45 ","45 ","45 ","60 ","30 ","45 ","45 ","30 ","30 ","30 ","0 ","0 ","0 ","0 "
May-13,Saturn,"196 ","168 ","154 ","140 ","140 ","140 ","126 ","140 ","126 ","126 ","126 ","98 ","112 ","98 ","126 ","112 ","112 ","84 ","98 ","0 ","0 ","0 ","0 "
May-13,Saturn,"30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","30 ","15 ","0 ","0 ","0 ","0 "
May-13,Saturn,"36 ","9 ","27 ","18 ","27 ","27 ","27 ","27 ","27 ","18 ","18 ","18 ","18 ","18 ","18 ","18 ","18 ","18 ","18 ","0 ","0 ","0 ","0 "
May-13,Saturn,"120 ","105 ","60 ","45 ","45 ","60 ","45 ","45 ","30 ","45 ","30 ","45 ","45 ","45 ","45 ","45 ","45 ","45 ","45 ","0 ","0 ","0 ","0 "
May-13,Saturn,"198 ","171 ","171 ","144 ","144 ","144 ","144 ","144 ","126 ","144 ","135 ","99 ","99 ","108 ","81 ","81 ","72 ","72 ","63 ","0 ","0 ","0 ","0 "
May-13,Saturn,"645 ","570 ","30 ","555 ","450 ","450 ","420 ","435 ","390 ","405 ","390 ","375 ","375 ","360 ","345 ","285 ","270 ","300 ","315 ","0 ","0 ","0 ","0 "
May-13,Saturn,"11 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"28 ","14 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"48 ","48 ","36 ","36 ","36 ","36 ","24 ","24 ","24 ","24 ","12 ","12 ","12 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","12 ","12 ","24 ","24 ","24 ","24 ","24 ","24 ","24 ","0 ","0 ","0 ","0 "
May-13,Saturn,"130 ","130 ","100 ","110 ","100 ","110 ","80 ","110 ","90 ","100 ","100 ","70 ","60 ","70 ","80 ","70 ","50 ","50 ","50 ","0 ","0 ","0 ","0 "
May-13,Saturn,"99 ","99 ","99 ","99 ","88 ","88 ","88 ","77 ","66 ","77 ","77 ","55 ","44 ","44 ","44 ","44 ","44 ","44 ","44 ","0 ","0 ","0 ","0 "
May-13,Saturn,"15 ","15 ","15 ","15 ","15 ","15 ","15 ","15 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"30 ","30 ","30 ","20 ","20 ","20 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"84 ","84 ","28 ","28 ","28 ","28 ","28 ","42 ","28 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","42 ","0 ","0 ","0 ","0 "
May-13,Saturn,"15 ","15 ","15 ","15 ","15 ","15 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 ","0 "
May-13,Saturn,"10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","10 ","0 ","0 ","0 ","0 "
